2025-06-16 09:43:58 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:43:58 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:43:59 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:43:59 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:00 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:00 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:01 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:01 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:02 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:02 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:03 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:03 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:04 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:04 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:05 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:05 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:06 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:06 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:07 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:07 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:08 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:08 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:09 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:09 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:10 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:10 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:11 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:11 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:12 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:44:12 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:44:41 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Disconnecting from node 1 due to socket connection setup timeout. The timeout value is 27527 ms.
2025-06-16 09:45:12 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Disconnecting from node 1 due to socket connection setup timeout. The timeout value is 29828 ms.
2025-06-16 09:45:13 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:13 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:45:14 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:14 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:45:15 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:15 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:45:46 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Disconnecting from node 1 due to socket connection setup timeout. The timeout value is 30000 ms.
2025-06-16 09:45:47 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:47 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:45:48 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:48 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:45:49 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:49 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:45:50 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:50 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:45:51 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:51 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:45:52 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:45:52 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:46:22 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Disconnecting from node 1 due to socket connection setup timeout. The timeout value is 29328 ms.
2025-06-16 09:46:26 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:46:26 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:46:28 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:46:28 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:46:29 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:46:29 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:46:30 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:46:30 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:46:31 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:46:31 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:46:32 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
2025-06-16 09:46:32 [kafka-producer-network-thread | TaskService-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Connection to node 1 (/192.168.1.14:9092) could not be established. Node may not be available.
2025-06-16 09:46:33 [kafka-producer-network-thread | TaskService-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=TaskService-producer-1] Node 1 disconnected.
